indicator,description,type
update.flach.cn,Download URLs,dns
download.flach.cn,Download URLs,dns
info.flach.cn,Download URLs,dns
forum.flach.cn,Download URLs,dns
m.flach.cn,Download URLs,dns
terminal.flach.cn,Download URLs,dns
update.careerhuawei.net,Download URLs,dns
careerhuawei.net,Download URLs,dns
info.careerhuawei.net,Download URLs,dns
hr.careerhuawei.net,Download URLs,dns
flash-update.buyonebuy.top,Download URLs,dns
update.huaweiyuncdn.com,Download URLs,dns
cdn.update.huaweiyuncdn.com,Download URLs,dns
cdn1.update.huaweiyuncdn.com,Download URLs,dns
infoadmin.update.huaweiyuncdn.com,Download URLs,dns
159.138.84.21,AddTaskPlanDllVersion.dll Download,ipv4
