indicator,description,type,credit
smartypractice.com,,dns,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
tanzschule-kieber.de,,dns,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
iqbalscientific.com,,dns,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
pasvenska.se,,dns,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
cursosgratuitosnainternet.com,,dns,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
bierensgebakkramen.nl,,dns,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
c2e-poitiers.com,,dns,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
gonzalezfornes.es,,dns,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
tonelektro.nl,,dns,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
milestoneshows.com,,dns,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
blossombeyond50.com,,dns,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
thomasvicino.com,,dns,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
kaotikkustomz.com,,dns,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
mindpackstudios.com,,dns,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
faroairporttransfers.net,,dns,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
daklesa.de,,dns,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
bxdf.info,,dns,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
simoneblum.de,,dns,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
gmto.fr,,dns,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
cerebralforce.net,,dns,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
myhostcloud.com,,dns,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
fotoscondron.com,,dns,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
sw1m.ru,,dns,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
homng.net,,dns,Credit to Sophos Labs (https://news.sophos.com/en-us/2021/07/04/independence-day-revil-uses-supply-chain-exploit-to-attack-hundreds-of-businesses/)
